address,amount_of_times_interacted_with,custom_label,label,contract_type,token_symbol
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,19359,circle,FiatTokenProxy,ERC20 Token,USDC
0xb0415d55f2c87b7f99285848bd341c367feac1ea,10515,,ONE_R0AR_Token,ERC20 Token,1R0R
0xdac17f958d2ee523a2206206994597c13d831ec7,9485,bitfinex,TetherToken,ERC20 Token,USDT
0x8629bcd3b8a90fd7247f0c0e0e1434c69dadcca7,6033,,Create2ForwarderFactory,Other Contract,N/A
0x9008d19f58aabd9ed0d60971565aa8510560ab41,3988,cow-protocol,GPv2Settlement,Other Contract,N/A
0x0000bbddc7ce488642fb579f8b00f3a590007251,2309,,Label not found,Not a Verified Contract,N/A
0xf8dff673b555a225e149218c5005fc88f4a13870,1618,,MainnetController,Other Contract,N/A
0x4c1746a800d224393fe2470c70a35717ed4ea5f1,1541,,PProxy,ERC20 Token,PLUME
0x514910771af9ca656af840dff83e8264ecf986ca,1529,chainlink,LinkToken,ERC20 Token,LINK
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1445,wrapped-token,WETH9,ERC20 Token,WETH
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1187,aave,InitializableImmutableAdminUpgradeabilityProxy,Other Contract,N/A
0x6c6f5b091bc50a6cb62e55b5c1eb7455205d2880,1071,,TransparentUpgradeableProxy,Other Contract,N/A
0x2ee96cf53ae5fbd5309284704f978d0ca66cb963,958,,RecipeExecutor,Other Contract,N/A
0xc36442b4a4522e871399cd717abdd847ab11fe88,550,token-contract,NonfungiblePositionManager,Other Contract,N/A
0x888888888889758f76e7103c6cbf23abbf58f946,492,,PendleRouterV4,Other Contract,N/A
0x6566194141eefa99af43bb5aa71460ca2dc90245,481,,Bundler3,Other Contract,N/A
0xd0a07a76746707f6d6d36d9d5897b14a8e9ed493,456,,PVComicBurn,Other Contract,N/A
0x308861a430be4cce5502d0a12724771fc6daf216,446,,UUPSProxy,Other Contract,N/A
0x6b175474e89094c44da98b954eedeac495271d0f,414,maker,Dai,ERC20 Token,DAI
0xf203ca1769ca8e9e8fe1da9d147db68b6c919817,413,gaming,WrappedNCG,ERC20 Token,WNCG
0x89a8c847f41c0dfa6c8b88638bacca8a0b777da7,409,,ERC1967Proxy,ERC20 Token,ELX
0x5afe3855358e112b5647b952709e6165e1c1eeee,400,safe-formerly-gnosis-safe,SafeToken,ERC20 Token,SAFE
0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6,376,safe-formerly-gnosis-safe,Airdrop,Other Contract,N/A
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,369,,LiFiDiamond,Other Contract,N/A
0x8e0eef788350f40255d86dfe8d91ec0ad3a4547f,337,,Cortensor,ERC20 Token,COR
0xb16df6f4a58ecb26fab8e09a5195c062a08e21bc,330,,TransparentUpgradeableProxy,Other Contract,N/A
0x94a8b4ee5cd64c79d0ee816f467ea73009f51aa0,330,,RIOToken,ERC20 Token,RIO
0xdd9bc35ae942ef0cfa76930954a156b3ff30a4e1,319,,ERC1967Proxy,Other Contract,N/A
0xfe4bce4b3949c35fb17691d8b03c3cadbe2e5e23,316,,TransparentUpgradeableProxy,ERC20 Token,stRESOLV
0x6cae28b3d09d8f8fc74ccd496ac986fc84c0c24e,314,,ERC1967Proxy,Other Contract,N/A
0xdc035d45d973e3ec169d2276ddab16f1e407384f,308,,ERC1967Proxy,ERC20 Token,USDS
0xc0fde70a65c7569fe919be57492228dee8cdb585,300,safe-formerly-gnosis-safe,Airdrop,Other Contract,N/A
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,287,wrapped-bitcoin,WBTC,ERC20 Token,WBTC
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,253,beacon-depositor,AppProxyUpgradeable,ERC20 Token,stETH
0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,246,polygon,PolygonEcosystemToken,ERC20 Token,POL
0x1395d68ff98378760b266d66de30da94f5825717,238,,Roles,Other Contract,N/A
0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,237,cow-protocol,CowProtocolToken,ERC20 Token,COW
0xfdafc9d1902f4e0b84f65f49f244b32b31013b74,236,,ComposableCoW,Other Contract,N/A
0x8bb4c975ff3c250e0ceea271728547f3802b36fd,234,,ERC1967Proxy,Other Contract,N/A
0xf9de2b1ff0c6ac32e3ec211af76e8185c62812fa,227,,Roles,Other Contract,N/A
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,226,defi,WstETH,ERC20 Token,wstETH
0x5fdad504e7895de9018a1e526c1a27823e346868,226,,Roles,Other Contract,N/A
0x335eeef8e93a7a757d9e7912044d9cd264e2b2d8,225,,SadGirlsBar,Other Contract,N/A
0x3cf63891928b8ceebb81c95426600a18cd59c03f,205,,BatchConversionPayments,Other Contract,N/A
0x44f49ff0da2498bcb1d3dc7c0f999578f67fd8c6,201,,ERC1967Proxy,ERC20 Token,CORN
0xc58212bd2cc5d60cb89e980713461be027389b2c,200,,RPDFoundersPass,Other Contract,N/A
0xfdc9d2a3cae56e484a85de3c2e812784a8184d0d,197,,JBToken,ERC20 Token,YUGE
0xca0c6b264f0f9958ec186eb2eaa208966187d866,186,,ERC1967Proxy,Other Contract,N/A
0x0c9a3dd6b8f28529d72d7f9ce918d493519ee383,181,,EthereumVaultConnector,Other Contract,N/A
0x6e15a54b5ecac17e58dadeddbe8506a7560252f9,178,,SynFuturesToken,ERC20 Token,F
0x0a992d191deec32afe36203ad87d7d289a738f81,177,,MessageTransmitter,Other Contract,N/A
0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,176,nexus-mutual,NXMToken,ERC20 Token,NXM
0xcafea54f03e1cc036653444e581a10a43b2487cd,163,nexus-mutual,OwnedUpgradeabilityProxy,Other Contract,N/A
0x3b50805453023a91a8bf641e279401a0b23fa6f9,161,defi,Renzo,ERC20 Token,REZ
0x734eec7930bc84ec5732022b9eb949a81fb89abe,161,,TransparentUpgradeableProxy,ERC20 Token,ETH0
0x78edcb307ac1d1f8f5fd070b377a6e69c8dcfc34,160,,StrategyProxy,Other Contract,N/A
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,156,stablecoin,USDe,ERC20 Token,USDe
0x34ae0321aa0ab4cf288925072ba3b1c9b49f1cc1,155,,Roles,Other Contract,N/A
0xfe11047a60d7785cf5739d469fe40483b58a6594,154,,Roles,Other Contract,N/A
0x532f0b30d65d9cfb01851184d9772c487dc6fbaa,153,,TransparentUpgradeableProxy,Other Contract,N/A
0x0a3bd90a5a1e52c2900c863bd2b37c3bf65ee310,153,,TimelockControllerEnumerable,Other Contract,N/A
0x6dc6001535e15b9def7b0f6a20a2111dfa9454e2,152,,MetaHero,Other Contract,N/A
0x1a88df1cfe15af22b3c4c783d4e6f7f9e0c1885d,150,,TransparentUpgradeableProxy,ERC20 Token,stkGHO
0xa03400e098f4421b34a3a44a1b4e571419517687,150,,Label not found,Not a Verified Contract,N/A
0x370de27fdb7d1ff1e1baa7d11c5820a324cf623c,149,,ERC20FeeProxy,Other Contract,N/A
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,148,kucoin,ERC1967Proxy,Other Contract,N/A
0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,145,stablecoin,GhoToken,ERC20 Token,GHO
0xb841f365d5221bed66d60e69094418d8c2aa5a44,142,,DSTRXToken,ERC20 Token,DSTRX
0x9e3b5582b22e3835896368017baff6d942a41cd9,142,,Haven1,ERC20 Token,H1
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,141,defi,EtherFiGovernanceToken,ERC20 Token,ETHFI
0x51c72848c68a965f66fa7a88855f9f7784502a7f,137,,Label not found,Not a Verified Contract,N/A
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,136,meme,Memecoin,ERC20 Token,MEME
0x000000000336701a9d410fbebe97c7299e48c50f,135,,Label not found,Not a Verified Contract,N/A
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,129,,UniversalRouter,Other Contract,N/A
0x7079ba1bd00eefcd2a260bbd6d088230505e3858,129,,AaveV3Borrow,Other Contract,N/A
0x56072c95faa701256059aa122697b133aded9279,129,,Sky,ERC20 Token,SKY
0x3c2f6b6c188e1e9474b51e001cf01366ef88727c,128,,Roles,Other Contract,N/A
0x7bc1e07cdfa283db7cf3c680d16ca7f161a64046,126,,TPLRevealedParts,Other Contract,N/A
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,123,artificial-intelligence,FetchToken,ERC20 Token,FET
0x481aeeb9bdfe08f050d22f0b352356691c4b0b59,121,,ERC1967Proxy,Other Contract,N/A
0x1ca12290d954cfe022323b6a6df92113ed6b1c98,120,,RollupProxy,Other Contract,N/A
0xc4f7b37be2bbbcf07373f28c61b1a259dfe49d2a,120,,RollupProxy,Other Contract,N/A
0xae6e307c3fe9e922e5674dbd7f830ed49c014c6b,120,defi,CredefiToken,ERC20 Token,CREDI
0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,119,,ERC1967Proxy,Other Contract,N/A
0x25500000d700bbe27104577cccce8eabcc96c8ad,119,,Proxy,ERC20 Token,KRO
0x7cbb62eaa69f79e6873cd1ecb2392971036cfaa4,119,safe-formerly-gnosis-safe,CreateCall,Other Contract,N/A
0x48f509707b4c09e72e7b004bbe7fb02d4d4290c2,115,,TransparentUpgradeableProxy,ERC20 Token,TEST stRSLV
0x80adb36595239fe918c7d118c1f81e07d070801a,111,,HeavenComputer,Other Contract,N/A
0x000000000000addb49795b0f9ba5bc298cdda236,110,,ModuleProxyFactory,Other Contract,N/A
0xd01607c3c5ecaba394d8be377a08590149325722,110,,WrappedTokenGatewayV3,Other Contract,N/A
0x111111125421ca6dc452d289314280a0f8842a65,108,1inch,AggregationRouterV6,Other Contract,N/A
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,107,aave,InitializableAdminUpgradeabilityProxy,ERC20 Token,AAVE
0x9d39a5de30e57443bff2a8307a4256c8797a3497,105,stablecoin,StakedUSDeV2,ERC20 Token,sUSDe
0xb17548c7b510427baac4e267bea62e800b247173,105,security,SwarmMarketsToken,ERC20 Token,SMT
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,104,,BoredApeYachtClub,Other Contract,N/A
0x5e532f7b610618ee73c2b462978e94cb1f7995ce,104,,TransparentUpgradeableProxy,Other Contract,N/A
0xce391315b414d4c7555956120461d21808a69f3a,102,,Vyper_contract,ERC20 Token,BAO
0x0000000f2eb9f69274678c76222b35eec7588a65,102,,TransparentUpgradeableProxy,ERC20 Token,yoUSD
0x2a414884a549ef5716bc1a4e648d3dc03f08b2cf,101,,TransparentUpgradeableProxy,ERC20 Token,PERQ
0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467,98,,TransparentUpgradeableProxy,ERC20 Token,LA
